255	255	255
254	252	252
254	250	250
253	247	247
253	245	245
252	242	242
252	240	240
251	237	237
251	234	234
250	232	232
249	229	229
249	227	227
248	224	224
248	222	222
247	219	219
247	217	217
246	214	214
246	211	211
245	209	209
244	206	206
244	204	204
243	201	201
243	199	199
242	196	196
242	193	193
241	191	191
241	188	188
240	186	186
239	183	183
239	181	181
238	178	178
238	175	175
237	173	173
237	170	170
236	168	168
236	165	165
235	163	163
234	160	160
234	158	158
233	155	155
233	152	152
232	150	150
232	147	147
231	145	145
231	142	142
230	140	140
229	137	137
229	134	134
228	132	132
228	129	129
227	127	127
227	124	124
226	122	122
226	119	119
225	116	116
224	114	114
224	111	111
223	109	109
223	106	106
222	104	104
222	101	101
221	98	98
221	96	96
220	93	93
219	91	91
219	88	88
218	86	86
218	83	83
217	81	81
217	78	78
216	75	75
216	73	73
215	70	70
214	68	68
214	65	65
213	63	63
213	60	60
212	57	57
212	55	55
211	52	52
211	50	50
210	47	47
209	45	45
209	42	42
208	39	39
208	37	37
207	34	34
207	32	32
206	29	29
206	27	27
205	24	24
204	22	22
204	19	19
203	16	16
203	14	14
202	11	11
202	9	9
201	6	6
201	4	4
200	1	1
