255	255	255
255	253	253
254	251	252
254	249	250
253	246	248
253	244	246
252	242	245
252	240	243
251	238	241
251	236	239
250	234	238
250	231	236
249	229	234
249	227	233
249	225	231
248	223	229
248	221	227
247	219	226
247	216	224
246	214	222
246	212	221
245	210	219
245	208	217
244	206	215
244	204	214
243	201	212
243	199	210
243	197	208
242	195	207
242	193	205
241	191	203
241	189	202
240	186	200
240	184	198
239	182	196
239	180	195
238	178	193
238	176	191
237	174	190
237	171	188
237	169	186
236	167	184
236	165	183
235	163	181
235	161	179
234	159	177
234	156	176
233	154	174
233	152	172
232	150	171
232	148	169
231	146	167
231	144	165
231	141	164
230	139	162
230	137	160
229	135	159
229	133	157
228	131	155
228	129	153
227	126	152
227	124	150
226	122	148
226	120	146
225	118	145
225	116	143
224	114	141
224	111	140
224	109	138
223	107	136
223	105	134
222	103	133
222	101	131
221	99	129
221	96	128
220	94	126
220	92	124
219	90	122
219	88	121
218	86	119
218	84	117
218	81	115
217	79	114
217	77	112
216	75	110
216	73	109
215	71	107
215	69	105
214	66	103
214	64	102
213	62	100
213	60	98
212	58	97
212	56	95
212	54	93
211	51	91
211	49	90
210	47	88
210	45	86
209	43	84
209	41	83
208	39	81
208	36	79
207	34	78
207	32	76
206	30	74
206	28	72
206	26	71
205	24	69
205	21	67
204	19	66
204	17	64
203	15	62
203	13	60
202	11	59
202	9	57
201	6	55
201	4	53
200	2	52
200	0	50
