0.39216	0.78431	1
1	0.039216	0
0.078431	0.86275	0
1	0.84314	0
0.13725	0.54902	1
1	0.51373	0.98039
1	0.58824	0
0.15686	0.7451	0.47059
0.86275	0.078431	0.31373
0.7451	0.94118	0.2549
1	0.70588	0.19608
0	0.70588	1
0.80392	0.80392	0
0.86275	0.31373	0.23529
1	0.71373	0.75686
0.47059	0.94118	0
0.39216	0.58824	0.94118
1	0.41569	0.41569
0.96078	0.20392	0.70588
0.94118	0.54902	0.47059
0.2549	0.88235	0.81569
0.94118	0.94118	0.78431
1	0.5098	0.66667
0.7451	0.24314	1
0.96078	0.31373	0
0.7451	0.94118	0.2549
0.27451	0.39216	0.90196
0	0.96078	1
0.82353	0.43137	0.31373
0.51373	0.43529	1
1	0.24314	0.58824
1	0.92549	0.54902
0.67843	1	0.078431
0.19608	0.62745	0.78431
0	0.78431	0.58824
0.78431	0.67843	0
0.78039	0.082353	0.52157
0.94902	0.94902	0
0	0	0.98039
0.8549	0.43922	0.83922
1	0	1
0.58824	0.96078	1
0.62745	1	0.58824
0	0.80784	0.82353
0.60784	0.19608	0.93333
0.52941	0.80784	0.98039
0.86275	0.78431	0.35294
0.62745	0.47059	0.86275
0.23529	1	0.39216
