Cell Length 	 Number Foci 	 Abs tot Foci_A in Membr_A 	 Abs tot Foci_A in Cyto_A 	 Rel Foci_A in Membr_A 	 Rel Foci_A in Cyto_A 	 Avg Foci eccentricity 	 Avg Foci Area 	 Avg Foci distance 	 Area Membr 	 Area Cyto 	 Area Cell 	 Avg Int Membr 	 Avg Int Cyto 	 Avg Int Cell 	
39.726665	1.000000	0.627002	0.372998	0.625571	0.372146	0.934283	437.000000	0.000000	274.000000	164.000000	438.000000	1307.175182	804.743902	1119.050228	
24.609556	1.000000	0.815166	0.184834	0.815166	0.184834	0.899101	211.000000	0.000000	172.000000	39.000000	211.000000	3068.372093	2337.846154	2933.345972	
52.292052	1.000000	0.694590	0.305410	0.694590	0.305410	0.962538	573.000000	0.000000	398.000000	175.000000	573.000000	3151.658291	1508.411429	2649.794066	
51.351672	1.000000	0.636852	0.363148	0.636852	0.363148	0.962135	559.000000	0.000000	356.000000	203.000000	559.000000	1557.314607	966.246305	1342.669052	
39.379433	1.000000	0.696471	0.303529	0.694836	0.302817	0.936247	425.000000	0.000000	297.000000	129.000000	426.000000	1750.929293	1204.341085	1585.413146	
45.908909	1.000000	0.725108	0.274892	0.725108	0.274892	0.959588	462.000000	0.000000	335.000000	127.000000	462.000000	3343.994030	2540.236220	3123.047619	
53.159137	1.000000	0.653650	0.346350	0.653650	0.346350	0.954474	589.000000	0.000000	385.000000	204.000000	589.000000	3632.337662	1837.901961	3010.835314	
39.403427	1.000000	0.684073	0.315927	0.684073	0.315927	0.944032	383.000000	0.000000	262.000000	121.000000	383.000000	2977.847328	2293.404959	2761.613577	
43.418639	1.000000	0.760920	0.239080	0.760920	0.239080	0.962096	435.000000	0.000000	331.000000	104.000000	435.000000	3157.595166	2282.346154	2948.340230	
30.845893	1.000000	0.720126	0.279874	0.720126	0.279874	0.906847	318.000000	0.000000	229.000000	89.000000	318.000000	2061.179039	2306.898876	2129.949686	
33.672880	1.000000	0.717579	0.282421	0.717579	0.282421	0.914834	347.000000	0.000000	249.000000	98.000000	347.000000	2082.899598	1072.959184	1797.671470	
35.185453	1.000000	0.670554	0.329446	0.670554	0.329446	0.937011	343.000000	0.000000	230.000000	113.000000	343.000000	6102.973913	3291.787611	5176.839650	
46.618037	1.000000	0.652174	0.347826	0.652174	0.347826	0.956531	483.000000	0.000000	315.000000	168.000000	483.000000	3363.841270	1652.571429	2768.616977	
37.849213	1.000000	0.700730	0.299270	0.700730	0.299270	0.934416	411.000000	0.000000	288.000000	123.000000	411.000000	1763.972222	1103.105691	1566.194647	
35.763227	1.000000	0.758308	0.241692	0.758308	0.241692	0.928641	331.000000	0.000000	251.000000	80.000000	331.000000	3369.235060	2525.400000	3165.287009	
49.142858	1.000000	0.696970	0.303030	0.688623	0.299401	0.944150	495.000000	0.099445	345.000000	156.000000	501.000000	2146.736232	857.256410	1745.221557	
34.863199	1.000000	0.708333	0.291667	0.708333	0.291667	0.931944	336.000000	0.000000	238.000000	98.000000	336.000000	1882.697479	899.877551	1596.041667	
48.779937	1.000000	0.800000	0.200000	0.797954	0.199488	0.975469	390.000000	0.005775	312.000000	79.000000	391.000000	1721.942308	726.987342	1520.915601	
35.032696	1.000000	0.837931	0.162069	0.832192	0.160959	0.936470	290.000000	0.000000	243.000000	49.000000	292.000000	1871.835391	670.938776	1670.315068	
32.042281	1.000000	0.766447	0.233553	0.766447	0.233553	0.921892	304.000000	0.000000	233.000000	71.000000	304.000000	4353.244635	1898.816901	3780.006579	
40.912165	1.000000	0.669880	0.330120	0.669880	0.330120	0.941333	415.000000	0.000000	278.000000	137.000000	415.000000	2580.935252	1266.948905	2147.161446	
59.822788	1.000000	0.675676	0.324324	0.673401	0.323232	0.969674	592.000000	0.000000	400.000000	194.000000	594.000000	1229.690000	744.195876	1071.127946	
36.422358	1.000000	0.744444	0.255556	0.744444	0.255556	0.934701	360.000000	0.000000	268.000000	92.000000	360.000000	1775.828358	1076.934783	1597.222222	
42.396434	1.000000	0.648276	0.351724	0.646789	0.350917	0.953840	435.000000	0.030333	283.000000	153.000000	436.000000	3280.784452	1872.758170	2786.683486	
41.806556	1.000000	0.690367	0.309633	0.690367	0.309633	0.942430	436.000000	0.000000	301.000000	135.000000	436.000000	3448.830565	2068.933333	3021.568807	
43.694494	1.000000	0.709328	0.290672	0.709328	0.290672	0.949633	461.000000	0.000000	327.000000	134.000000	461.000000	2428.813456	1476.373134	2151.965293	
44.936236	1.000000	0.701299	0.298701	0.701299	0.298701	0.952901	462.000000	0.000000	324.000000	138.000000	462.000000	2084.370370	1190.449275	1817.354978	
44.415208	1.000000	0.646934	0.353066	0.646934	0.353066	0.952694	473.000000	0.000000	306.000000	167.000000	473.000000	3130.830065	1954.694611	2715.577167	
37.188506	1.000000	0.751337	0.248663	0.751337	0.248663	0.944870	374.000000	0.000000	281.000000	93.000000	374.000000	1546.142349	961.161290	1400.679144	
48.493530	1.000000	0.699010	0.300990	0.699010	0.300990	0.958646	505.000000	0.000000	353.000000	152.000000	505.000000	2938.203966	2013.065789	2659.746535	
34.594332	1.000000	0.780919	0.219081	0.724590	0.203279	0.930818	283.000000	0.124620	235.000000	70.000000	305.000000	1604.612766	1041.971429	1475.481967	
49.183406	1.000000	0.687732	0.312268	0.687732	0.312268	0.955121	538.000000	0.000000	370.000000	168.000000	538.000000	2252.421622	1091.428571	1889.881041	
53.531744	1.000000	0.638261	0.361739	0.638261	0.361739	0.964936	575.000000	0.000000	367.000000	208.000000	575.000000	2474.272480	1261.432692	2035.540870	
